t-5,t-4,t-3,t-2,t-1,t
1794,2452,2142,2335,2187,1957
2452,2142,2335,2187,1957,1570
2142,2335,2187,1957,1570,3394
2335,2187,1957,1570,3394,3221
2187,1957,1570,3394,3221,1768
1957,1570,3394,3221,1768,2647
1570,3394,3221,1768,2647,1903
3394,3221,1768,2647,1903,1880
3221,1768,2647,1903,1880,2427
1768,2647,1903,1880,2427,2480
2647,1903,1880,2427,2480,2218
1903,1880,2427,2480,2218,2575
1880,2427,2480,2218,2575,2801
2427,2480,2218,2575,2801,2781
2480,2218,2575,2801,2781,2142
2218,2575,2801,2781,2142,2298
2575,2801,2781,2142,2298,3063
2801,2781,2142,2298,3063,2310
2781,2142,2298,3063,2310,2415
2142,2298,3063,2310,2415,2300
2298,3063,2310,2415,2300,2634
3063,2310,2415,2300,2634,2905
2310,2415,2300,2634,2905,2209
2415,2300,2634,2905,2209,1441
2300,2634,2905,2209,1441,2714
2634,2905,2209,1441,2714,2590
2905,2209,1441,2714,2590,1972
2209,1441,2714,2590,1972,2594
1441,2714,2590,1972,2594,1970
2714,2590,1972,2594,1970,2053
2590,1972,2594,1970,2053,2419
1972,2594,1970,2053,2419,3014
2594,1970,2053,2419,3014,2956
1970,2053,2419,3014,2956,2226
2053,2419,3014,2956,2226,2828
2419,3014,2956,2226,2828,2111
3014,2956,2226,2828,2111,2580
2956,2226,2828,2111,2580,1882
2226,2828,2111,2580,1882,2329
2828,2111,2580,1882,2329,2132
2111,2580,1882,2329,2132,2898
2580,1882,2329,2132,2898,2756
1882,2329,2132,2898,2756,2205
2329,2132,2898,2756,2205,2808
2132,2898,2756,2205,2808,1629
2898,2756,2205,2808,1629,2362
2756,2205,2808,1629,2362,2028
2205,2808,1629,2362,2028,2605
2808,1629,2362,2028,2605,2250
1629,2362,2028,2605,2250,2134
2362,2028,2605,2250,2134,3237
2028,2605,2250,2134,3237,2218
2605,2250,2134,3237,2218,1983
2250,2134,3237,2218,1983,2213
2134,3237,2218,1983,2213,1784
3237,2218,1983,2213,1784,2899
2218,1983,2213,1784,2899,2041
1983,2213,1784,2899,2041,3103
2213,1784,2899,2041,3103,2839
1784,2899,2041,3103,2839,2219
2899,2041,3103,2839,2219,2190
2041,3103,2839,2219,2190,1892
3103,2839,2219,2190,1892,2421
2839,2219,2190,1892,2421,2368
2219,2190,1892,2421,2368,2844
2190,1892,2421,2368,2844,2098
1892,2421,2368,2844,2098,2808
2421,2368,2844,2098,2808,2138
2368,2844,2098,2808,2138,2975
2844,2098,2808,2138,2975,2258
2098,2808,2138,2975,2258,2768
2808,2138,2975,2258,2768,2961
2138,2975,2258,2768,2961,2609
2975,2258,2768,2961,2609,2383
2258,2768,2961,2609,2383,2237
2768,2961,2609,2383,2237,2076
2961,2609,2383,2237,2076,2368
2609,2383,2237,2076,2368,2869
2383,2237,2076,2368,2869,2230
2237,2076,2368,2869,2230,3040
2076,2368,2869,2230,3040,2538
2368,2869,2230,3040,2538,2604
2869,2230,3040,2538,2604,2701
2230,3040,2538,2604,2701,2501
3040,2538,2604,2701,2501,2502
