t-5,t-4,t-3,t-2,t-1,t
2779,2913,2645,3070,3080,2968
2913,2645,3070,3080,2968,1565
2645,3070,3080,2968,1565,2940
3070,3080,2968,1565,2940,2242
3080,2968,1565,2940,2242,2718
2968,1565,2940,2242,2718,2927
1565,2940,2242,2718,2927,3312
2940,2242,2718,2927,3312,2690
2242,2718,2927,3312,2690,2925
2718,2927,3312,2690,2925,2729
2927,3312,2690,2925,2729,3160
3312,2690,2925,2729,3160,3014
2690,2925,2729,3160,3014,2743
2925,2729,3160,3014,2743,2798
2729,3160,3014,2743,2798,3010
3160,3014,2743,2798,3010,2572
3014,2743,2798,3010,2572,3139
2743,2798,3010,2572,3139,2569
2798,3010,2572,3139,2569,3114
3010,2572,3139,2569,3114,2567
2572,3139,2569,3114,2567,2846
3139,2569,3114,2567,2846,2599
2569,3114,2567,2846,2599,2930
3114,2567,2846,2599,2930,1879
2567,2846,2599,2930,1879,2521
2846,2599,2930,1879,2521,2226
2599,2930,1879,2521,2226,2797
2930,1879,2521,2226,2797,2790
1879,2521,2226,2797,2790,2476
2521,2226,2797,2790,2476,2457
2226,2797,2790,2476,2457,2876
2797,2790,2476,2457,2876,2218
2790,2476,2457,2876,2218,3165
2476,2457,2876,2218,3165,2961
2457,2876,2218,3165,2961,2378
2876,2218,3165,2961,2378,1534
2218,3165,2961,2378,1534,3207
3165,2961,2378,1534,3207,2642
2961,2378,1534,3207,2642,3208
2378,1534,3207,2642,3208,2299
1534,3207,2642,3208,2299,2583
3207,2642,3208,2299,2583,2466
2642,3208,2299,2583,2466,1436
3208,2299,2583,2466,1436,2712
2299,2583,2466,1436,2712,2917
2583,2466,1436,2712,2917,2667
2466,1436,2712,2917,2667,2910
1436,2712,2917,2667,2910,2971
2712,2917,2667,2910,2971,3000
2917,2667,2910,2971,3000,2859
2667,2910,2971,3000,2859,2877
2910,2971,3000,2859,2877,3195
2971,3000,2859,2877,3195,2835
3000,2859,2877,3195,2835,2870
2859,2877,3195,2835,2870,2802
2877,3195,2835,2870,2802,2827
3195,2835,2870,2802,2827,3136
2835,2870,2802,2827,3136,2573
2870,2802,2827,3136,2573,2548
2802,2827,3136,2573,2548,3047
2827,3136,2573,2548,3047,2605
3136,2573,2548,3047,2605,3283
2573,2548,3047,2605,3283,2678
2548,3047,2605,3283,2678,2529
3047,2605,3283,2678,2529,2884
2605,3283,2678,2529,2884,2183
3283,2678,2529,2884,2183,3225
2678,2529,2884,2183,3225,2972
2529,2884,2183,3225,2972,3461
2884,2183,3225,2972,3461,3138
2183,3225,2972,3461,3138,2823
3225,2972,3461,3138,2823,2909
2972,3461,3138,2823,2909,2794
3461,3138,2823,2909,2794,2947
3138,2823,2909,2794,2947,3229
2823,2909,2794,2947,3229,2544
2909,2794,2947,3229,2544,2766
2794,2947,3229,2544,2766,3000
2947,3229,2544,2766,3000,2838
3229,2544,2766,3000,2838,2240
2544,2766,3000,2838,2240,3415
2766,3000,2838,2240,3415,2620
3000,2838,2240,3415,2620,2899
2838,2240,3415,2620,2899,3211
2240,3415,2620,2899,3211,2777
