t-5,t-4,t-3,t-2,t-1,t
2080,1893,1130,2279,1927,1233
1893,1130,2279,1927,1233,1424
1130,2279,1927,1233,1424,1304
2279,1927,1233,1424,1304,1901
1927,1233,1424,1304,1901,1876
1233,1424,1304,1901,1876,1607
1424,1304,1901,1876,1607,2130
1304,1901,1876,1607,2130,2043
1901,1876,1607,2130,2043,1594
1876,1607,2130,2043,1594,1941
1607,2130,2043,1594,1941,1978
2130,2043,1594,1941,1978,1899
2043,1594,1941,1978,1899,1324
1594,1941,1978,1899,1324,2036
1941,1978,1899,1324,2036,2279
1978,1899,1324,2036,2279,834
1899,1324,2036,2279,834,1580
1324,2036,2279,834,1580,2417
2036,2279,834,1580,2417,2168
2279,834,1580,2417,2168,1983
834,1580,2417,2168,1983,2035
1580,2417,2168,1983,2035,1426
2417,2168,1983,2035,1426,1717
2168,1983,2035,1426,1717,1952
1983,2035,1426,1717,1952,1287
2035,1426,1717,1952,1287,1149
1426,1717,1952,1287,1149,1038
1717,1952,1287,1149,1038,1269
1952,1287,1149,1038,1269,1796
1287,1149,1038,1269,1796,908
1149,1038,1269,1796,908,1818
1038,1269,1796,908,1818,1542
1269,1796,908,1818,1542,1279
1796,908,1818,1542,1279,2098
908,1818,1542,1279,2098,2118
1818,1542,1279,2098,2118,1926
1542,1279,2098,2118,1926,1059
1279,2098,2118,1926,1059,2152
2098,2118,1926,1059,2152,1616
2118,1926,1059,2152,1616,1567
1926,1059,2152,1616,1567,1991
1059,2152,1616,1567,1991,2144
2152,1616,1567,1991,2144,1813
1616,1567,1991,2144,1813,1795
1567,1991,2144,1813,1795,1426
1991,2144,1813,1795,1426,1673
2144,1813,1795,1426,1673,1804
1813,1795,1426,1673,1804,937
1795,1426,1673,1804,937,1109
1426,1673,1804,937,1109,1871
1673,1804,937,1109,1871,816
1804,937,1109,1871,816,1612
937,1109,1871,816,1612,1542
1109,1871,816,1612,1542,1829
1871,816,1612,1542,1829,1732
816,1612,1542,1829,1732,1149
1612,1542,1829,1732,1149,1122
1542,1829,1732,1149,1122,2024
1829,1732,1149,1122,2024,2036
1732,1149,1122,2024,2036,1403
1149,1122,2024,2036,1403,2395
1122,2024,2036,1403,2395,1558
2024,2036,1403,2395,1558,2389
2036,1403,2395,1558,2389,1475
1403,2395,1558,2389,1475,1694
2395,1558,2389,1475,1694,1643
1558,2389,1475,1694,1643,1739
2389,1475,1694,1643,1739,1533
1475,1694,1643,1739,1533,1372
1694,1643,1739,1533,1372,1589
1643,1739,1533,1372,1589,2075
1739,1533,1372,1589,2075,1228
1533,1372,1589,2075,1228,1505
1372,1589,2075,1228,1505,1381
1589,2075,1228,1505,1381,1468
2075,1228,1505,1381,1468,1552
1228,1505,1381,1468,1552,1618
1505,1381,1468,1552,1618,1564
1381,1468,1552,1618,1564,1382
1468,1552,1618,1564,1382,1798
1552,1618,1564,1382,1798,2079
1618,1564,1382,1798,2079,1453
1564,1382,1798,2079,1453,1152
1382,1798,2079,1453,1152,1573
1798,2079,1453,1152,1573,1461
