t-5,t-4,t-3,t-2,t-1,t
8489,9138,7574,9747,9299,7779
9138,7574,9747,9299,7779,6043
7574,9747,9299,7779,6043,9762
9747,9299,7779,6043,9762,8980
9299,7779,6043,9762,8980,8203
7779,6043,9762,8980,8203,8615
6043,9762,8980,8203,8615,9031
9762,8980,8203,8615,9031,8494
8980,8203,8615,9031,8494,9332
8203,8615,9031,8494,9332,8478
8615,9031,8494,9332,8478,8747
9031,8494,9332,8478,8747,8996
8494,9332,8478,8747,8996,8118
9332,8478,8747,8996,8118,9309
8478,8747,8996,8118,9309,9057
8747,8996,8118,9309,9057,7926
8996,8118,9309,9057,7926,9917
8118,9309,9057,7926,9917,9552
9309,9057,7926,9917,9552,9715
9057,7926,9917,9552,9715,8239
7926,9917,9552,9715,8239,8288
9917,9552,9715,8239,8288,8912
9552,9715,8239,8288,8912,8849
9715,8239,8288,8912,8849,6293
8239,8288,8912,8849,6293,8895
8288,8912,8849,6293,8895,7221
8912,8849,6293,8895,7221,7919
8849,6293,8895,7221,7919,8611
6293,8895,7221,7919,8611,7504
8895,7221,7919,8611,7504,7166
7221,7919,8611,7504,7166,8852
7919,8611,7504,7166,8852,7777
8611,7504,7166,8852,7777,8973
7504,7166,8852,7777,8973,8893
7166,8852,7777,8973,8893,9353
8852,7777,8973,8893,9353,7366
7777,8973,8893,9353,7366,8062
8973,8893,9353,7366,8062,7846
8893,9353,7366,8062,7846,8982
9353,7366,8062,7846,8982,7809
7366,8062,7846,8982,7809,9509
8062,7846,8982,7809,9509,10045
7846,8982,7809,9509,10045,6510
8982,7809,9509,10045,6510,8847
7809,9509,10045,6510,8847,7192
9509,10045,6510,8847,7192,8661
10045,6510,8847,7192,8661,8692
6510,8847,7192,8661,8692,8233
8847,7192,8661,8692,8233,8629
7192,8661,8692,8233,8629,8038
8661,8692,8233,8629,8038,9030
8692,8233,8629,8038,9030,8533
8233,8629,8038,9030,8533,7681
8629,8038,9030,8533,7681,8213
8038,9030,8533,7681,8213,8048
9030,8533,7681,8213,8048,8774
8533,7681,8213,8048,8774,8035
7681,8213,8048,8774,8035,9760
8213,8048,8774,8035,9760,9136
8048,8774,8035,9760,9136,8437
8774,8035,9760,9136,8437,9086
8035,9760,9136,8437,9086,8422
9760,9136,8437,9086,8422,9084
9136,8437,9086,8422,9084,7897
8437,9086,8422,9084,7897,8535
9086,8422,9084,7897,8535,7284
8422,9084,7897,8535,7284,9579
9084,7897,8535,7284,9579,8684
7897,8535,7284,9579,8684,9206
8535,7284,9579,8684,9206,9111
7284,9579,8684,9206,9111,9038
9579,8684,9206,9111,9038,9456
8684,9206,9111,9038,9456,8740
9206,9111,9038,9456,8740,9041
9111,9038,9456,8740,9041,8770
9038,9456,8740,9041,8770,7391
9456,8740,9041,8770,7391,7931
8740,9041,8770,7391,7931,9232
9041,8770,7391,7931,9232,8856
8770,7391,7931,9232,8856,9304
7391,7931,9232,8856,9304,9833
7931,9232,8856,9304,9833,7887
9232,8856,9304,9833,7887,8894
8856,9304,9833,7887,8894,9441
9304,9833,7887,8894,9441,8398
