t-5,t-4,t-3,t-2,t-1,t
1836,1880,1657,2063,2105,1621
1880,1657,2063,2105,1621,1484
1657,2063,2105,1621,1484,2124
2063,2105,1621,1484,2124,1616
2105,1621,1484,2124,1616,1841
1621,1484,2124,1616,1841,1434
1484,2124,1616,1841,1434,1686
2124,1616,1841,1434,1686,1881
1616,1841,1434,1686,1881,2386
1841,1434,1686,1881,2386,1328
1434,1686,1881,2386,1328,1391
1686,1881,2386,1328,1391,1508
1881,2386,1328,1391,1508,1250
2386,1328,1391,1508,1250,1694
1328,1391,1508,1250,1694,1626
1391,1508,1250,1694,1626,2222
1508,1250,1694,1626,2222,2135
1250,1694,1626,2222,2135,2256
1694,1626,2222,2135,2256,2018
1626,2222,2135,2256,2018,1389
2222,2135,2256,2018,1389,773
2135,2256,2018,1389,773,1982
2256,2018,1389,773,1982,1993
2018,1389,773,1982,1993,1021
1389,773,1982,1993,1021,2373
773,1982,1993,1021,2373,1256
1982,1993,1021,2373,1256,2112
1993,1021,2373,1256,2112,1958
1021,2373,1256,2112,1958,1262
2373,1256,2112,1958,1262,1748
1256,2112,1958,1262,1748,1739
2112,1958,1262,1748,1739,1003
1958,1262,1748,1739,1003,1573
1262,1748,1739,1003,1573,1608
1748,1739,1003,1573,1608,2029
1739,1003,1573,1608,2029,1795
1003,1573,1608,2029,1795,1216
1573,1608,2029,1795,1216,1170
1608,2029,1795,1216,1170,1829
2029,1795,1216,1170,1829,1811
1795,1216,1170,1829,1811,2037
1216,1170,1829,1811,2037,2679
1170,1829,1811,2037,2679,1056
1829,1811,2037,2679,1056,1532
1811,2037,2679,1056,1532,1220
2037,2679,1056,1532,1220,1959
2679,1056,1532,1220,1959,1950
1056,1532,1220,1959,1950,1720
1532,1220,1959,1950,1720,2270
1220,1959,1950,1720,2270,1174
1959,1950,1720,2270,1174,2100
1950,1720,2270,1174,2100,1508
1720,2270,1174,2100,1508,1321
2270,1174,2100,1508,1321,1301
1174,2100,1508,1321,1301,1730
2100,1508,1321,1301,1730,1899
1508,1321,1301,1730,1899,1736
1321,1301,1730,1899,1736,2060
1301,1730,1899,1736,2060,1713
1730,1899,1736,2060,1713,1768
1899,1736,2060,1713,1768,1896
1736,2060,1713,1768,1896,1689
2060,1713,1768,1896,1689,1596
1713,1768,1896,1689,1596,1525
1768,1896,1689,1596,1525,1113
1896,1689,1596,1525,1113,1360
1689,1596,1525,1113,1360,1807
1596,1525,1113,1360,1807,2041
1525,1113,1360,1807,2041,1398
1113,1360,1807,2041,1398,2126
1360,1807,2041,1398,2126,1372
1807,2041,1398,2126,1372,2358
2041,1398,2126,1372,2358,1832
1398,2126,1372,2358,1832,2330
2126,1372,2358,1832,2330,1836
1372,2358,1832,2330,1836,1219
2358,1832,2330,1836,1219,1179
1832,2330,1836,1219,1179,1799
2330,1836,1219,1179,1799,2406
1836,1219,1179,1799,2406,2226
1219,1179,1799,2406,2226,1801
1179,1799,2406,2226,1801,1210
1799,2406,2226,1801,1210,2142
2406,2226,1801,1210,2142,2156
2226,1801,1210,2142,2156,1658
