YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JF,MAM,JJAS,OND,ANN
1871,19.6,10.7,14.5,33.9,63.6,208,277.8,179.4,183.6,36.8,32.4,6.7,30.3,112,848.7,75.8,1067
1872,7.6,7.5,7.3,24,43.8,189.2,291.3,245.2,187.9,78.5,27.6,19.1,15.1,75.1,913.6,125.2,1128.9
1873,3.7,13.5,15,24.3,42.8,113,264.5,214.2,165.6,60.7,11.5,9,17.2,82.1,757.3,81.2,937.8
1874,8.6,15.8,10.7,16.9,68.3,227.9,306.9,233.5,206.2,93.2,18.7,4,24.4,95.9,974.5,115.9,1210.6
1875,9.9,11.4,13.1,23.2,50.6,192.6,307.9,218.7,210.5,56.6,6.3,7.1,21.3,86.9,929.7,70,1107.8
1876,0.9,2.1,16,16.5,42.5,123.3,296.8,195.6,162,46.4,9.5,2.5,3,75,777.6,58.4,914.1
1877,29.1,23.4,24,35.3,67.4,142.4,156.4,156.9,148.3,107.8,18.9,36.5,52.5,126.7,604,163.2,946.4
1878,10.8,9.1,10.2,36.1,66.5,130.4,294,339.3,212.4,79.8,27.3,14,19.9,112.8,976.1,121.1,1229.9
1879,2.1,10.7,8,8.2,87.7,190,224.1,322.1,161.6,86.6,20.5,7.1,12.7,103.9,897.8,114.2,1128.7
1880,3.9,16.5,15.1,21.1,49.6,187.6,271.7,176.8,184,87.7,52.8,11.1,20.4,85.8,820.1,151.6,1077.9
1881,1.3,3.2,33.1,23.7,53.1,160.7,292.7,264.6,143.3,49.3,34.7,6.2,4.5,109.9,861.3,90.2,1065.8
1882,10,9.4,9,18.8,59.6,213,331.1,190.3,168.5,73.9,59.6,6.2,19.4,87.3,902.9,139.7,1149.3
1883,17.9,3.6,18.9,16.5,62.1,204.3,269,187.9,188.1,83,28.2,15.5,21.5,97.5,849.2,126.7,1094.9
1884,7.1,7.4,8.2,20.3,38.3,159.3,292.4,242.6,238.5,86.6,27,30.5,14.5,66.8,932.8,144.1,1158.2
1885,9.6,9.9,13.6,19.9,52.8,194,272.8,247.9,132.7,73.7,32.1,50.2,19.5,86.3,847.4,156,1109.2
1886,4.9,1.2,22.2,12.4,71.1,197.7,315.9,221.8,139,132,21.4,17.1,6.1,105.7,874.4,170.5,1156.7
1887,17.6,0.6,14.8,20.9,55.2,189.8,301.3,257.4,150.8,87.9,41.1,13,18.2,90.9,899.3,142,1150.3
1888,19.7,13.6,11.9,25.9,53.1,132.3,274.3,280,125,38.2,53.1,7.2,33.3,90.8,811.6,98.5,1034.2
1889,10.6,13.4,6.6,24.3,44.8,203.5,279.7,278.1,169.3,94,25.4,6.8,24,75.7,930.6,126.2,1156.5
1890,2.6,1.1,17.3,26.1,35.8,227.9,300.9,214.1,162.6,64.7,35.1,13.6,3.7,79.2,905.5,113.4,1101.7
1891,11.5,13.4,34.8,20.7,59.5,83.4,257.1,229.7,222.2,60.2,17.3,7.1,24.9,115,792.4,84.6,1016.9
1892,5.3,10.6,5.6,32.9,54.1,157.9,313.9,306.3,213.5,99.3,12.6,7,15.9,92.6,991.6,118.9,1219
1893,22.4,28.3,46.7,25.2,94.6,241.6,256.8,230.9,225.6,97,64.2,2.2,50.6,166.5,954.9,163.4,1335.4
1894,11.5,14.4,18.1,24.8,36,216.8,311.4,241.5,201.7,138.8,38.5,13.7,25.9,78.9,971.4,191,1267.2
