Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,J + F,MAM,JJAS,OND,J to D
1871,19.7,10.8,14.5,33.9,63.6,208,277.9,179.4,183.6,36.8,32.4,6.7,30.5,112,848.9,75.9,1067.3
1872,7.6,7.5,7.3,24,43.8,189.3,291.3,245.2,188,78.5,27.6,19.1,15.1,75.1,913.8,125.2,1129.2
1873,3.7,13.5,15.1,24.3,42.9,113,264.5,214.2,165.7,60.7,11.5,9,17.2,82.3,757.4,81.2,938.1
1874,8.6,15.8,10.7,16.9,68.3,227.9,307,233.5,206.3,93.3,18.7,4,24.4,95.9,974.7,116,1211
1875,9.9,11.4,13.1,23.2,50.6,192.7,308,218.7,210.5,56.6,6.3,7.2,21.3,86.9,929.9,70.1,1108.2
1876,0.9,2.1,16,16.5,42.6,123.3,296.8,195.7,162.1,46.5,9.5,2.5,3,75.1,777.9,58.5,914.5
1877,29.2,23.5,24,35.3,67.4,142.4,156.5,157,148.4,107.8,18.9,36.5,52.7,126.7,604.3,163.2,946.9
1878,10.8,9.1,10.3,36.1,66.5,130.4,294,339.4,212.4,79.9,27.4,14,19.9,112.9,976.2,121.3,1230.3
1879,2.2,10.8,8,8.2,87.7,190.1,224.2,322.1,161.6,86.6,20.5,7.1,13,103.9,898,114.2,1129.1
1880,3.9,16.5,15.1,21.1,49.6,187.6,271.8,176.8,184.1,87.8,52.8,11.2,20.4,85.8,820.3,151.8,1078.3
1881,1.3,3.2,33.1,23.7,53.1,160.7,292.7,264.7,143.4,49.3,34.7,6.2,4.5,109.9,861.5,90.2,1066.1
1882,10,9.5,9,18.9,59.7,213,331.2,190.3,168.6,74,59.6,6.2,19.5,87.6,903.1,139.8,1150
1883,18,3.6,18.9,16.5,62.2,204.3,269,188,188.1,83.1,28.2,15.5,21.6,97.6,849.4,126.8,1095.4
1884,7.1,7.4,8.2,20.3,38.4,159.4,292.5,242.7,238.6,86.7,27,30.5,14.5,66.9,933.2,144.2,1158.8
1885,9.6,9.9,13.6,20,52.8,194.1,272.9,248,132.8,73.7,32.1,50.2,19.5,86.4,847.8,156,1109.7
1886,4.9,1.2,22.3,12.5,71.2,197.8,316,221.8,139.1,132,21.4,17.1,6.1,106,874.7,170.5,1157.3
1887,17.6,0.6,14.8,21,55.2,189.9,301.4,257.5,150.8,87.9,41.1,13.1,18.2,91,899.6,142.1,1150.9
1888,19.8,13.7,11.9,26,53.1,132.4,274.3,280.1,125,38.2,53.1,7.3,33.5,91,811.8,98.6,1034.9
1889,10.6,13.5,6.7,24.3,44.8,203.6,279.8,278.1,169.4,94.1,25.4,6.8,24.1,75.8,930.9,126.3,1157.1
1890,2.6,1.1,17.3,26.1,35.9,227.9,301,214.2,162.6,64.8,35.2,13.6,3.7,79.3,905.7,113.6,1102.3
1891,11.5,13.5,34.8,20.7,59.5,83.4,257.2,229.8,222.2,60.3,17.3,7.1,25,115,792.6,84.7,1017.3
1892,5.3,10.6,5.7,32.9,54.1,158,313.9,306.3,213.5,99.4,12.7,7,15.9,92.7,991.7,119.1,1219.4
1893,22.5,28.4,46.8,25.3,94.7,241.7,256.9,231,225.6,97,64.3,2.2,50.9,166.8,955.2,163.5,1336.4
1894,11.5,14.5,18.1,24.8,36,216.8,311.4,241.5,201.8,138.8,38.5,13.7,26,78.9,971.5,191,1267.4
1895,10.9,7.7,11.9,37.6,41.5,198.3,256.7,230,138.9,79.3,13.4,12,18.6,91,823.9,104.7,1038.2
1896,3.1,6.1,6.9,17,41.3,203.5,284.6,263.4,77.3,14.9,43.6,17.5,9.2,65.2,828.8,76,979.2
1897,9.3,12.4,20.8,21.7,43.5,142.6,259.9,290.5,198.2,85.6,13,1.8,21.7,86,891.2,100.4,1099.3
1898,2.1,30.7,2.8,21.1,37.6,171.7,293,220.9,199.3,65.5,39.3,12.5,32.8,61.5,884.9,117.3,1096.5
1899,5.8,6.6,7.4,52.3,52.7,195.2,187.9,144.1,102.1,50.7,4.1,2.6,12.4,112.4,629.3,57.4,811.5
1900,15.3,6.7,10.4,38.6,40.6,128.7,252.1,271.4,237.3,49,10.5,14.1,22,89.6,889.5,73.6,1074.7
1901,27.4,33.7,11.4,31.6,39.2,114.9,222.6,259,125.6,54,43.2,9.5,61.1,82.2,722.1,106.7,972.1
1902,6.7,2.5,10.2,35.4,41.9,103.8,279.7,197.2,211.2,69.8,27.9,26.9,9.2,87.5,791.9,124.6,1013.2
1903,8.6,5.5,10.3,12.1,56.3,126.9,279,259.4,195.8,128.9,43.5,15.2,14.1,78.7,861.1,187.6,1141.5
1904,5.9,8.6,20.3,31.1,68.7,179.6,247.6,197,126.2,70.7,9,9.9,14.5,120.1,750.4,89.6,974.6
1905,12.8,14.5,28.6,27.2,47.6,90.8,245.7,205.3,174.8,61,9.8,2.5,27.3,103.4,716.6,73.3,920.6
1906,15.2,38.6,22,13.5,32.8,181.8,287.6,241.9,173.9,54.4,19.9,26.4,53.8,68.3,885.2,100.7,1108
1907,6.3,32.5,25.7,52.4,26.4,154.2,221.8,301.4,100.3,20.5,23.8,12.8,38.8,104.5,777.7,57.1,978.1
1908,15.7,12.6,6.8,15.6,39.1,127.9,316.5,295.6,157.3,42.4,6,1.8,28.3,61.5,897.3,50.2,1037.3
